år,veckonummer,Region,Antal_fall_vecka,Kum_antal_fall,Antal_intensivvårdade_vecka,Kum_antal_intensivvårdade,Antal_avlidna_vecka,Kum_antal_avlidna,Antal_fall_100000inv_vecka,Kum_fall_100000inv
2020,1,Blekinge,0,0,0,0,0,0,0,0
2020,2,Blekinge,0,0,0,0,0,0,0,0
2020,3,Blekinge,0,0,0,0,0,0,0,0
2020,4,Blekinge,0,0,0,0,0,0,0,0
2020,5,Blekinge,0,0,0,0,0,0,0,0
2020,6,Blekinge,0,0,0,0,0,0,0,0
2020,7,Blekinge,0,0,0,0,0,0,0,0
2020,8,Blekinge,0,0,0,0,0,0,0,0
2020,9,Blekinge,0,0,0,0,0,0,0,0
2020,10,Blekinge,0,0,0,0,0,0,0,0
2020,11,Blekinge,10,10,0,0,0,0,6,6
2020,12,Blekinge,2,12,0,0,0,0,1,8
2020,13,Blekinge,9,21,1,1,1,1,6,13
2020,14,Blekinge,15,36,1,2,0,1,9,23
2020,15,Blekinge,6,42,0,2,1,2,4,26
2020,16,Blekinge,1,43,0,2,0,2,1,27
2020,17,Blekinge,21,64,0,2,0,2,13,40
2020,18,Blekinge,10,74,0,2,0,2,6,46
2020,19,Blekinge,11,85,0,2,0,2,7,53
2020,20,Blekinge,18,103,1,3,1,3,11,65
2020,21,Blekinge,44,147,0,3,1,4,28,92
2020,22,Blekinge,68,215,0,3,1,5,43,135
2020,23,Blekinge,82,297,1,4,1,6,51,186
2020,24,Blekinge,82,379,1,5,5,11,51,237
2020,25,Blekinge,38,417,2,7,2,13,24,261
2020,26,Blekinge,27,444,1,8,1,14,17,278
2020,27,Blekinge,16,460,0,8,0,14,10,288
2020,28,Blekinge,11,471,0,8,0,14,7,295
2020,29,Blekinge,8,479,0,8,0,14,5,300
2020,30,Blekinge,3,482,0,8,0,14,2,302
2020,31,Blekinge,11,493,0,8,1,15,7,309
2020,32,Blekinge,33,526,0,8,0,15,21,330
2020,33,Blekinge,46,572,0,8,0,15,29,358
2020,34,Blekinge,22,594,1,9,1,16,14,372
2020,35,Blekinge,15,609,0,9,1,17,9,382
2020,36,Blekinge,3,612,0,9,0,17,2,383
2020,37,Blekinge,4,616,0,9,0,17,3,386
2020,38,Blekinge,14,630,0,9,0,17,9,395
2020,39,Blekinge,77,707,0,9,0,17,48,443
2020,40,Blekinge,72,779,0,9,0,17,45,488
2020,41,Blekinge,61,840,0,9,1,18,38,526
2020,42,Blekinge,31,871,0,9,0,18,19,546
2020,43,Blekinge,65,936,0,9,0,18,41,586
2020,44,Blekinge,141,1077,1,10,0,18,88,675
2020,45,Blekinge,161,1238,0,10,2,20,101,776
2020,46,Blekinge,224,1462,0,10,1,21,140,916
2020,47,Blekinge,251,1713,2,12,1,22,157,1073
2020,48,Blekinge,365,2078,0,12,1,23,229,1302
2020,49,Blekinge,458,2536,1,13,2,25,287,1589
2020,50,Blekinge,556,3092,2,15,4,29,348,1937
2020,51,Blekinge,621,3713,5,20,8,37,389,2326
2020,52,Blekinge,700,4413,2,22,12,49,439,2765
2020,53,Blekinge,914,5327,2,24,11,60,573,3338
2021,1,Blekinge,788,6115,3,27,16,76,495,3845
2021,2,Blekinge,621,6736,1,28,11,87,390,4235
2021,3,Blekinge,379,7115,3,31,11,98,238,4473
2021,4,Blekinge,214,7329,1,32,12,110,135,4608
2021,5,Blekinge,211,7540,1,33,3,113,133,4740
2021,6,Blekinge,150,7690,1,34,1,114,94,4835
2021,7,Blekinge,173,7863,2,36,1,115,109,4944
2021,8,Blekinge,121,7984,2,38,2,117,76,5020
2021,9,Blekinge,170,8154,0,38,0,117,107,5126
2021,10,Blekinge,179,8333,0,38,0,117,113,5239
2021,11,Blekinge,211,8544,2,40,3,120,133,5372
2021,12,Blekinge,303,8847,0,40,0,120,190,5562
2021,13,Blekinge,384,9231,2,42,1,121,241,5804
2021,14,Blekinge,455,9686,1,43,1,122,286,6090
2021,15,Blekinge,592,10278,1,44,4,126,372,6462
2021,16,Blekinge,658,10936,2,46,1,127,414,6876
2021,17,Blekinge,555,11491,3,49,1,128,349,7224
2021,18,Blekinge,455,11946,3,52,0,128,286,7511
2021,19,Blekinge,292,12238,2,54,0,128,184,7694
2021,20,Blekinge,208,12446,2,56,0,128,131,7825
2021,21,Blekinge,119,12565,0,56,0,128,75,7900
2021,22,Blekinge,98,12663,1,57,0,128,62,7961
2021,23,Blekinge,83,12746,0,57,1,129,52,8014
2021,24,Blekinge,58,12804,1,58,1,130,36,8050
2021,25,Blekinge,39,12843,0,58,0,130,25,8075
2021,26,Blekinge,19,12862,0,58,0,130,12,8086
2021,27,Blekinge,11,12873,0,58,0,130,7,8093
2021,28,Blekinge,14,12887,0,58,0,130,9,8102
2021,29,Blekinge,15,12902,0,58,0,130,9,8112
2021,30,Blekinge,9,12911,0,58,0,130,6,8117
2021,31,Blekinge,36,12947,0,58,0,130,23,8140
2021,32,Blekinge,56,13003,0,58,0,130,35,8175
