Län,Län_namn,Kommun,Kommun_namn,Ålder,Befolkning,Antal minst 1 dos,Antal färdigvaccinerade,Andel minst 1 dos,Andel färdigvaccinerade,,
01,Stockholm,0114,Upplands Väsby,16-17,1122,632,226,0.563280,0.201426,,
01,Stockholm,0114,Upplands Väsby,18-29,6428,4020,2941,0.625389,0.457530,,
01,Stockholm,0114,Upplands Väsby,30-39,7088,4854,4067,0.684819,0.573787,,
01,Stockholm,0114,Upplands Väsby,40-49,6802,5257,4872,0.772861,0.716260,,
01,Stockholm,0114,Upplands Väsby,50-59,6185,5336,5134,0.862732,0.830073,,
01,Stockholm,0114,Upplands Väsby,60-69,4177,3713,3553,0.888915,0.850610,,
01,Stockholm,0114,Upplands Väsby,70-79,4096,3789,3666,0.925049,0.895020,,
01,Stockholm,0114,Upplands Väsby,80-89,1810,1699,1635,0.938674,0.903315,,
01,Stockholm,0114,Upplands Väsby,90 eller äldre,344,318,293,0.924419,0.851744,,
01,Stockholm,0115,Vallentuna,16-17,1033,704,289,0.681510,0.279768,,
01,Stockholm,0115,Vallentuna,18-29,4276,2988,2224,0.698784,0.520112,,
01,Stockholm,0115,Vallentuna,30-39,4077,3259,2855,0.799362,0.700270,,
01,Stockholm,0115,Vallentuna,40-49,5267,4641,4365,0.881147,0.828745,,
01,Stockholm,0115,Vallentuna,50-59,4875,4384,4223,0.899282,0.866256,,
01,Stockholm,0115,Vallentuna,60-69,3156,2855,2616,0.904626,0.828897,,
01,Stockholm,0115,Vallentuna,70-79,2696,2579,2482,0.956602,0.920623,,
01,Stockholm,0115,Vallentuna,80-89,1343,1291,1181,0.961281,0.879375,,
01,Stockholm,0115,Vallentuna,90 eller äldre,265,234,212,0.883019,0.800000,,
01,Stockholm,0117,Österåker,16-17,1361,963,385,0.707568,0.282880,,
01,Stockholm,0117,Österåker,18-29,5859,4384,3251,0.748251,0.554873,,
01,Stockholm,0117,Österåker,30-39,5487,4546,3938,0.828504,0.717696,,
01,Stockholm,0117,Österåker,40-49,6599,5683,5360,0.861191,0.812244,,
01,Stockholm,0117,Österåker,50-59,6887,6253,6015,0.907943,0.873385,,
01,Stockholm,0117,Österåker,60-69,4418,4098,3937,0.927569,0.891127,,
