Län,Län_namn,Kommun,Kommun_namn,Ålder,Befolkning,Antal minst 1 dos,Antal färdigvaccinerade,Andel minst 1 dos,Andel färdigvaccinerade
1,Stockholm,114,Upplands Väsby,16-17,1690,872,103,0.515976,0.060947
1,Stockholm,114,Upplands Väsby,18-29,6526,3748,2168,0.574318,0.33221
1,Stockholm,114,Upplands Väsby,30-39,7140,4685,3642,0.656162,0.510084
1,Stockholm,114,Upplands Väsby,40-49,6771,5230,4760,0.772412,0.702998
1,Stockholm,114,Upplands Väsby,50-59,5994,5127,4888,0.855355,0.815482
1,Stockholm,114,Upplands Väsby,60-69,4098,3624,3432,0.884334,0.837482
1,Stockholm,114,Upplands Väsby,70-79,3951,3666,3520,0.927866,0.890914
1,Stockholm,114,Upplands Väsby,80-89,1611,1501,1436,0.931719,0.891372
1,Stockholm,114,Upplands Väsby,90 eller äldre,271,254,231,0.937269,0.852399
1,Stockholm,115,Vallentuna,16-17,1486,914,107,0.615074,0.072005
1,Stockholm,115,Vallentuna,18-29,4198,2772,1707,0.660314,0.406622
1,Stockholm,115,Vallentuna,30-39,4197,3310,2781,0.788659,0.662616
1,Stockholm,115,Vallentuna,40-49,5329,4659,4332,0.874273,0.81291
1,Stockholm,115,Vallentuna,50-59,4714,4205,3998,0.892024,0.848112
1,Stockholm,115,Vallentuna,60-69,3020,2735,2513,0.905629,0.832119
1,Stockholm,115,Vallentuna,70-79,2666,2539,2429,0.952363,0.911103
1,Stockholm,115,Vallentuna,80-89,1184,1132,1034,0.956081,0.873311
1,Stockholm,115,Vallentuna,90 eller äldre,194,171,155,0.881443,0.798969
1,Stockholm,117,Österåker,16-17,2038,1315,129,0.64524,0.063297
1,Stockholm,117,Österåker,18-29,5697,3997,2244,0.701597,0.393892
1,Stockholm,117,Österåker,30-39,5533,4415,3611,0.79794,0.65263
1,Stockholm,117,Österåker,40-49,6795,5809,5387,0.854893,0.792789
1,Stockholm,117,Österåker,50-59,6637,5976,5711,0.900407,0.860479
1,Stockholm,117,Österåker,60-69,4334,4002,3833,0.923396,0.884402
1,Stockholm,117,Österåker,70-79,4525,4345,4217,0.960221,0.931934
1,Stockholm,117,Österåker,80-89,1678,1578,1532,0.940405,0.912992
1,Stockholm,117,Österåker,90 eller äldre,313,295,279,0.942492,0.891374
1,Stockholm,120,Värmdö,16-17,1901,1214,124,0.638611,0.065229
1,Stockholm,120,Värmdö,18-29,5507,3613,1900,0.656074,0.345015
1,Stockholm,120,Värmdö,30-39,5396,4277,3391,0.792624,0.628428
1,Stockholm,120,Värmdö,40-49,6828,5882,5388,0.861453,0.789104
1,Stockholm,120,Värmdö,50-59,6564,5848,5591,0.89092,0.851767
1,Stockholm,120,Värmdö,60-69,4559,4260,4059,0.934415,0.890327
1,Stockholm,120,Värmdö,70-79,4201,3950,3821,0.940252,0.909545
1,Stockholm,120,Värmdö,80-89,1354,1297,1245,0.957903,0.919498
1,Stockholm,120,Värmdö,90 eller äldre,235,213,204,0.906383,0.868085
1,Stockholm,123,Järfälla,16-17,3051,1579,182,0.517535,0.059653
1,Stockholm,123,Järfälla,18-29,12187,7039,4295,0.577583,0.352425
1,Stockholm,123,Järfälla,30-39,12229,8015,6371,0.655409,0.520975
1,Stockholm,123,Järfälla,40-49,11281,8779,8007,0.778211,0.709778
1,Stockholm,123,Järfälla,50-59,9704,8314,7900,0.85676,0.814097
1,Stockholm,123,Järfälla,60-69,7069,6258,6002,0.885274,0.849059
1,Stockholm,123,Järfälla,70-79,6435,5982,5810,0.929604,0.902875
1,Stockholm,123,Järfälla,80-89,3010,2814,2745,0.934884,0.91196
1,Stockholm,123,Järfälla,90 eller äldre,581,511,493,0.879518,0.848537
1,Stockholm,125,Ekerö,16-17,1337,800,88,0.598355,0.065819
1,Stockholm,125,Ekerö,18-29,2847,1775,929,0.623463,0.326308
1,Stockholm,125,Ekerö,30-39,3101,2402,1885,0.774589,0.607868
1,Stockholm,125,Ekerö,40-49,4591,3877,3528,0.844478,0.76846
1,Stockholm,125,Ekerö,50-59,4182,3700,3509,0.884744,0.839072
1,Stockholm,125,Ekerö,60-69,2687,2486,2406,0.925195,0.895422
1,Stockholm,125,Ekerö,70-79,2586,2434,2373,0.941222,0.917633
1,Stockholm,125,Ekerö,80-89,1041,996,969,0.956772,0.930836
1,Stockholm,125,Ekerö,90 eller äldre,165,157,149,0.951515,0.90303
1,Stockholm,126,Huddinge,16-17,4572,2439,254,0.533465,0.055556
1,Stockholm,126,Huddinge,18-29,16795,9756,5828,0.580887,0.347008
1,Stockholm,126,Huddinge,30-39,16516,10783,8559,0.652882,0.518225
1,Stockholm,126,Huddinge,40-49,16929,13234,12054,0.781735,0.712033
1,Stockholm,126,Huddinge,50-59,14582,12100,11423,0.82979,0.783363
1,Stockholm,126,Huddinge,60-69,9481,8087,7677,0.852969,0.809725
1,Stockholm,126,Huddinge,70-79,7459,6813,6611,0.913393,0.886312
1,Stockholm,126,Huddinge,80-89,3050,2801,2724,0.918361,0.893115
1,Stockholm,126,Huddinge,90 eller äldre,584,512,488,0.876712,0.835616
1,Stockholm,127,Botkyrka,16-17,3703,1329,148,0.358898,0.039968
1,Stockholm,127,Botkyrka,18-29,14900,6280,3372,0.421477,0.226309
1,Stockholm,127,Botkyrka,30-39,13704,7096,5192,0.517805,0.378867
1,Stockholm,127,Botkyrka,40-49,13826,9044,7775,0.65413,0.562346
1,Stockholm,127,Botkyrka,50-59,11802,9093,8393,0.770463,0.711151
1,Stockholm,127,Botkyrka,60-69,8304,6622,6187,0.797447,0.745063
1,Stockholm,127,Botkyrka,70-79,6578,5784,5544,0.879295,0.842809
1,Stockholm,127,Botkyrka,80-89,2502,2213,2125,0.884492,0.849321
1,Stockholm,127,Botkyrka,90 eller äldre,430,373,357,0.867442,0.830233
1,Stockholm,128,Salem,16-17,774,438,38,0.565891,0.049096
1,Stockholm,128,Salem,18-29,2156,1275,723,0.591373,0.335343
1,Stockholm,128,Salem,30-39,2048,1344,1058,0.65625,0.516602
1,Stockholm,128,Salem,40-49,2455,2012,1857,0.819552,0.756415
1,Stockholm,128,Salem,50-59,2234,1946,1870,0.871083,0.837064
1,Stockholm,128,Salem,60-69,1307,1150,1102,0.879878,0.843152
1,Stockholm,128,Salem,70-79,1505,1434,1399,0.952824,0.929568
1,Stockholm,128,Salem,80-89,719,690,676,0.959666,0.940195
1,Stockholm,128,Salem,90 eller äldre,127,111,106,0.874016,0.834646
1,Stockholm,136,Haninge,16-17,3338,1630,167,0.488316,0.05003
1,Stockholm,136,Haninge,18-29,14424,8231,4833,0.570646,0.335067
1,Stockholm,136,Haninge,30-39,14165,8986,6955,0.634381,0.490999
1,Stockholm,136,Haninge,40-49,13209,9894,8937,0.749035,0.676584
1,Stockholm,136,Haninge,50-59,11462,9540,9013,0.832315,0.786337
1,Stockholm,136,Haninge,60-69,7723,6616,6275,0.856662,0.812508
1,Stockholm,136,Haninge,70-79,7332,6695,6443,0.913121,0.878751
1,Stockholm,136,Haninge,80-89,2721,2479,2369,0.911062,0.870636
1,Stockholm,136,Haninge,90 eller äldre,408,362,341,0.887255,0.835784
1,Stockholm,138,Tyresö,16-17,2104,1302,151,0.618821,0.071768
1,Stockholm,138,Tyresö,18-29,6401,4108,2438,0.641775,0.380878
1,Stockholm,138,Tyresö,30-39,5863,4378,3563,0.746717,0.607709
1,Stockholm,138,Tyresö,40-49,7180,6114,5620,0.851532,0.78273
1,Stockholm,138,Tyresö,50-59,7041,6174,5913,0.876864,0.839795
1,Stockholm,138,Tyresö,60-69,4156,3717,3551,0.89437,0.854427
1,Stockholm,138,Tyresö,70-79,4049,3834,3693,0.9469,0.912077
1,Stockholm,138,Tyresö,80-89,1919,1823,1769,0.949974,0.921834
1,Stockholm,138,Tyresö,90 eller äldre,342,310,291,0.906433,0.850877
1,Stockholm,139,Upplands-Bro,16-17,1136,614,57,0.540493,0.050176
1,Stockholm,139,Upplands-Bro,18-29,4364,2573,1403,0.589597,0.321494
1,Stockholm,139,Upplands-Bro,30-39,4422,2894,2185,0.654455,0.49412
1,Stockholm,139,Upplands-Bro,40-49,4256,3330,2991,0.782425,0.702773
1,Stockholm,139,Upplands-Bro,50-59,3590,3004,2813,0.836769,0.783565
1,Stockholm,139,Upplands-Bro,60-69,2601,2275,2163,0.874664,0.831603
1,Stockholm,139,Upplands-Bro,70-79,2458,2290,2222,0.931652,0.903987
1,Stockholm,139,Upplands-Bro,80-89,816,759,738,0.930147,0.904412
