Vecka,År,Region,Antal vaccinerade,Andel vaccinerade,Vaccinationsstatus,,,
52,2020,| Sverige |,2451,0.000287,Minst 1 dos,,,
52,2020,| Sverige |,0,0.000000,Färdigvaccinerade,,,
52,2020,Stockholm,288,0.000148,Minst 1 dos,,,
52,2020,Stockholm,0,0.000000,Färdigvaccinerade,,,
52,2020,Uppsala,7,0.000022,Minst 1 dos,,,
52,2020,Uppsala,0,0.000000,Färdigvaccinerade,,,
52,2020,Södermanland,116,0.000474,Minst 1 dos,,,
52,2020,Södermanland,0,0.000000,Färdigvaccinerade,,,
52,2020,Östergötland,214,0.000554,Minst 1 dos,,,
52,2020,Östergötland,0,0.000000,Färdigvaccinerade,,,
52,2020,Jönköping,43,0.000144,Minst 1 dos,,,
52,2020,Jönköping,0,0.000000,Färdigvaccinerade,,,
52,2020,Kronoberg,29,0.000175,Minst 1 dos,,,
52,2020,Kronoberg,0,0.000000,Färdigvaccinerade,,,
52,2020,Kalmar,0,0.000000,Minst 1 dos,,,
52,2020,Kalmar,0,0.000000,Färdigvaccinerade,,,
52,2020,Gotland,0,0.000000,Minst 1 dos,,,
52,2020,Gotland,0,0.000000,Färdigvaccinerade,,,
52,2020,Blekinge,179,0.001351,Minst 1 dos,,,
52,2020,Blekinge,0,0.000000,Färdigvaccinerade,,,
52,2020,Skåne,295,0.000260,Minst 1 dos,,,
52,2020,Skåne,0,0.000000,Färdigvaccinerade,,,
52,2020,Halland,46,0.000167,Minst 1 dos,,,
52,2020,Halland,0,0.000000,Färdigvaccinerade,,,
52,2020,Västra Götaland,292,0.000204,Minst 1 dos,,,
52,2020,Västra Götaland,0,0.000000,Färdigvaccinerade,,,
52,2020,Värmland,43,0.000182,Minst 1 dos,,,
52,2020,Värmland,0,0.000000,Färdigvaccinerade,,,
52,2020,Örebro,245,0.000973,Minst 1 dos,,,
52,2020,Örebro,0,0.000000,Färdigvaccinerade,,,
52,2020,Västmanland,200,0.000876,Minst 1 dos,,,
52,2020,Västmanland,0,0.000000,Färdigvaccinerade,,,
52,2020,Dalarna,190,0.000795,Minst 1 dos,,,
52,2020,Dalarna,0,0.000000,Färdigvaccinerade,,,
52,2020,Gävleborg,200,0.000834,Minst 1 dos,,,
52,2020,Gävleborg,0,0.000000,Färdigvaccinerade,,,
52,2020,Västernorrland,0,0.000000,Minst 1 dos,,,
52,2020,Västernorrland,0,0.000000,Färdigvaccinerade,,,
52,2020,Jämtland,63,0.000578,Minst 1 dos,,,
52,2020,Jämtland,0,0.000000,Färdigvaccinerade,,,
52,2020,Västerbotten,0,0.000000,Minst 1 dos,,,
52,2020,Västerbotten,0,0.000000,Färdigvaccinerade,,,
52,2020,Norrbotten,0,0.000000,Minst 1 dos,,,
52,2020,Norrbotten,0,0.000000,Färdigvaccinerade,,,
53,2020,| Sverige |,16234,0.001901,Minst 1 dos,,,
53,2020,| Sverige |,0,0.000000,Färdigvaccinerade,,,
53,2020,Stockholm,2285,0.001171,Minst 1 dos,,,
53,2020,Stockholm,0,0.000000,Färdigvaccinerade,,,
53,2020,Uppsala,242,0.000758,Minst 1 dos,,,
